設立別,幼兒園名稱,核准設立日期,設立許可證號,園長/園主任,幼兒園電話,幼兒園住址,核定總招收人數,經度,緯度
私人,新竹市私立塏欣幼兒園,1999/5/25,府教特字第1060084033號,林秀蓉,(03)5729763,新竹市東區千甲里10鄰水利路83-3號,180,24.8041757,121.0063381
私人,新竹市私立加米幼兒園,2004/3/22,府教特字第1010151253號,邱秋景,(03)5711818,新竹市東區千甲里8鄰水利路128號1樓,90,24.806427,121.0079681
私人,新竹市私立傑恩幼兒園,1998/6/19,府教特字第1010151116號,蔡淑蔚,(03)5797999,新竹市東區埔頂里2鄰埔頂路125號1-2樓,60,24.794884,121.0089354
私人,新竹市私立嘉德琳關埔幼兒園,2015/3/24,府教特字第1040052441號,萬瑞琴,(03)5790918,新竹市東區埔頂里6鄰埔頂三路148號1-3樓,133,24.7921927,121.0091244
國小附設(屬),新竹市東區龍山國民小學附設幼兒園,1998/4/7,府教特字第1030165938號,,(03)5646674,新竹市東區龍山里1鄰光復路一段574號,60,24.7893476,121.0073228
私人,新竹市私立新莊幼兒園,1980/8/27,府教特字第1030155007號,郭玲玲,(03)5774106,新竹市東區新莊里8鄰新莊街252.252-1號,200,24.7864577,121.0167513
私人,新竹市私立黎明幼兒園,2010/3/5,府教特字第1010106982號,李慧玲,(03)5785696,新竹市東區新莊里24鄰新莊街228巷12弄8號,60,24.7875401,121.0181721
私人,新竹市私立親仁科園幼兒園,2012/8/17,府教特字第1010099140號,劉志輝,(03)5787222,新竹市東區新莊里7鄰關新西街49號1-3樓,214,24.7874585,121.0187037
私人,新竹市私立理想圓幼兒園,2012/4/13,府教特字第1010044043號,陳佩雯,(03)6661899,新竹市東區仙水里10鄰光復路一段531巷70-3號,90,24.7827491,121.018059
私人,新竹市私立弋果幼兒園,2000/6/8,府教特字第1010151225號,彭淳惠,(03)5633913,新竹市東區金山里2鄰金山七街27號1樓,90,24.778388,121.020407
私人,新竹市私立聖奧得幼兒園,2004/7/2,府教特字第1010098873號,林麗雪,(03)6661177,新竹市東區金山里1鄰金山九街81號1樓,90,24.7763098,121.020924
私人,新竹市私立吉貝兒幼兒園,2004/4/29,府教特字第1010151186號,陳怡樺,(03)5790335,新竹市東區金山里1鄰金山九街五十六號1-2樓,25,24.7785631,121.0213964
公益社團法人辦理,社團法人新竹市教保人員協會附設新竹市私立新科非營利幼兒園(新竹市政府委託辦理),2014/9/22,府教特字第1040079356號,吳明媛,(03)5770092,新竹市東區金山里19鄰光復路一段89巷88號,90,24.7802672,121.0241642
私人,新竹市私立源順幼兒園,1983/2/22,府教特字第1020068501號,林志明,(03)5772359,新竹市東區關東里21鄰光復路一段302巷13號,30,24.7809633,121.0260529
財團法人附設,財團法人台灣省天主教會新竹教區附設新竹市私立聖家幼兒園,1983/11/23,府教特字第1010046027號,鍾冉媺,(03)5774603,新竹市東區關東里14鄰光復路一段268巷1之1號,150,24.782228,121.02042
私人,新竹市私立博玉幼兒園,2006/2/14,府教特字第1050110568號,簡淑宜,(03)5775981,新竹市東區關東里20鄰光復路一段268巷16號1樓,30,24.7823919,121.0206593
私人,新竹市私立丹尼爾幼兒園,2001/1/12,府教特字第1020349455號,江亦蘋,(03)5782575,新竹市東區關東里6鄰關東路60號1-3號,37,24.7843021,121.0220057
私人,新竹市私立丹尼爾關東幼兒園,2003/10/15,府教特字第1020349438號,夏立廉,(03)5782575,新竹市東區關東里6鄰關東路68號,30,24.7834351,121.022658
私人,新竹市私立新儒林幼兒園,2001/7/4,府教特字第1010070986號,林美珍,(03)5797856,新竹市東區關東里15鄰光復路一段268巷63號1-3樓,50,24.7841791,121.020661
私人,新竹市私立美加幼兒園,2012/6/15,府教特字第1010071945號,黃翠滿,(03)5772266,新竹市東區關東里3鄰光復路一段20號,100,24.7811531,121.0259389
國小附設(屬),新竹市東區關東國民小學附設幼兒園,1998/4/7,府教特字第1010160822號,,(03)5775645#501,新竹市東區關東里9鄰關東路53號,60,24.7840474,121.0222036
私人,新竹市私立園區幼兒園,1987/4/13,府教特字第1010026794號,吳欣穎,(03)5778298,新竹市東區科園里23鄰園區一路31號1樓,150,24.7774241,121.008988
團體附設,台灣積體電路製造股份有限公司職工福利委員會附設新竹市私立台積電幼兒園,1999/5/25,府教特字第1030139074號,蔡梅嵐,(03)5636688#7082922,新竹市東區科園里24鄰科學工業區力行路25號3樓,110,24.7816461,121.0059154
團體附設,智邦科技股份有限公司職工福利委員會附設新竹市私立智邦幼兒園,2002/4/17,府教特字第1050182242號,葉素琴,(03)5770270#3634,新竹市東區科園里22鄰科學園區研新三路一號,40,24.778065,120.988169
團體附設,智邦科技股份有限公司職工福利委員會附設新竹市私立智邦二廠幼兒園,2004/1/16,府教特字第1050182248號,林宏莉,(03)5770270#3634,新竹市東區科園里22鄰科學園區園區二路9號1樓,60,24.7802071,120.998043
私人,新竹市私立及幼幼兒園,1994/12/7,府教特字第1010071014號,古素碧,(03)5784535,新竹市東區科園里16鄰民享街69號,60,24.783338,121.0094783
私人,新竹市私立杜曼幼兒園,2001/12/10,府教特字第1010066479號,林怡蕙,(03)6662480,新竹市東區科園里6鄰科學園路107巷11號,103,24.7845931,121.0115261
高中(職)附設(屬),國立科學工業園區實驗高級中學附設幼兒園,1983/7/12,府教特字第1060139162號,,(03)5777011#370,新竹市東區科園里23鄰介壽路300號,120,24.776195,121.0169054
私人,新竹市私立天天幼兒園,1988/1/27,府教特字第1010155813號,鍾美齡,(03)5777009,新竹市東區科園里13鄰民有街2號1樓,20,24.7833191,121.0107863
私人,新竹市私立紐約幼兒園,2006/2/13,府教特字第1050172013號,柳懿真,(03)6668588,新竹市東區科園里4鄰光復路一段585號,90,24.7858059,121.0116639
私人,新竹市私立熊麻吉幼兒園,2013/12/25,府教特字第1020400151號,莊詩倫,(03)5785880,新竹市東區科園里6鄰科學園路107巷20號1-2樓,34,24.7862479,121.0096346
公益社團法人辦理,社團法人新竹市教保人員協會附設新竹市私立建華非營利幼兒園（新竹市政府委託辦理）,2016/9/23,府教特字第1050145008號,陳濰綾,(03)5622650,新竹市東區建華里2鄰學府路2號,120,24.7939644,120.9767252
財團法人附設,財團法人台灣基督長老教會聖經學院附設新竹市私立仁光幼兒園,1973/12/14,府教特字第1060148650號,周約美,(03)5217125#280,新竹市東區新光里4鄰高峰路56號,240,24.7927796,120.9733225
私人,新竹市私立天福幼兒園,1992/11/26,府教特字第1050134644號,孫孟竹,(03)5234125,新竹市東區新光里11鄰明湖路143號,60,24.7930937,120.9685595
公益社團法人辦理,社團法人新竹市教保人員協會附設新竹市私立陽光非營利幼兒園（新竹市政府委託辦理）,2011/10/7,府教特字第1040116764號,洪翠青,(03)5628963,新竹市東區新光里9鄰明湖路200號(低年級大樓1樓),120,24.7898281,120.9679552
私人,新竹市私立親親寶貝幼兒園,2001/1/31,府教特字第1010066490號,何麗雪,(03)5326406,新竹市東區復興里7鄰自由路95巷18弄28號1-2樓,77,24.8130309,120.9792235
私人,新竹市私立喬太幼兒園,2001/9/19,府教特字第1010098942號,黃芯榆,(03)5356969,新竹市東區復興里9鄰經國路一段379巷41號1-2樓,40,24.8144793,120.9790608
國小附設(屬),新竹市東區三民國民小學附設幼兒園,1979/8/15,府教特字第1040045594號,,(03)5326345#24,新竹市東區復興里10鄰自由路66號,90,24.8126349,120.9814029
私人,新竹市私立田心庄幼兒園,2006/8/15,府教特字第1010103392號,饒美珍,(03)5311833,新竹市東區復興里6鄰經國路一段479巷11弄8號,110,24.8134401,120.9766665
私人,新竹市私立南瓜田國際幼兒園,2016/12/12,府教特字第1060116105號,黃春美,(03)5327751,新竹市東區復興里6鄰經國路一段479巷1弄2號1-2樓,60,24.8142406,120.9823594
私人,新竹市私立蒲公英精實幼兒園,1997/3/8,府教特字第1010151241號,史皓珍,(03)5202999,新竹市東區湖濱里2鄰明湖路400巷2-1號,90,24.7854238,120.9675808
國小附設(屬),新竹市東區青草湖國民小學附設幼兒園,2013/8/1,府教特字第1050122559號,,(03)5200360#2060,新竹市東區明湖里4鄰明湖路1211號,90,24.7684612,120.978032
縣市立,新竹市立新竹幼兒園,1923/8/15,府教特字第1010093091號,彭欣怡,(03)5222597,新竹市北區西門里10鄰西大路508號,218,24.8051418,120.9634895
私人,新竹市私立聖保羅幼兒園,2011/11/24,府教特字第1010140849號,林玉珍,(03)5242138,新竹市北區崇禮里7鄰延平路一段60號1-3樓,97,24.8034491,120.960834
財團法人附設,財團法人天主教耶穌會附設新竹市私立震旦幼兒園,1960/5/30,府教特字第1010099697號,江玉真,(03)5260959,新竹市北區興南里11鄰德成街72號,270,24.7995923,120.9630371
私人,新竹市私立研田幼兒園,2005/7/12,府教特字第1010025048號,李玲慧,(03)5223506,新竹市北區中興里7鄰中山路40巷25號1、2樓,70,24.8065865,120.9664687
私人,新竹市私立鵝媽媽幼兒園,2000/8/31,府教特字第1010117400號,吳貞儀,(03)5281580,新竹市北區長和里3鄰經國路2段390號1-3樓,110,24.813615,120.9673502
私人,新竹市私立立人幼兒園,2013/9/14,府教特字第1020349616號,鄭婉珠,(03)5228811,新竹市北區長和里4鄰城北街71號,55,24.8105275,120.9636656
私人,新竹市私立民富寶貝幼兒園,2006/4/25,府教特字第1040116772號,彭麗玉,(03)5261497,新竹市北區民富里15鄰經國路二段320巷17弄25號1.2樓,29,24.8089515,120.9580975
國小附設(屬),新竹市北區民富國民小學附設幼兒園,1980/8/1,府教特字第1030063761號,,(03)5263793#890,新竹市北區民富里1鄰西大路561號,150,24.8084101,120.9605054
私人,新竹市私立科瑞特幼兒園,2007/8/7,府教特字第1010112434號,張宿慧,(03)5231460,新竹市北區民富里12鄰經國路二段501巷10號1、2樓,42,24.8051974,120.9562964
財團法人附設,財團法人台灣省天主教會新竹教區附設新竹市私立德蘭幼兒園,1984/2/29,府教特字第1010036143號,吳麗雲,(03)5257052,新竹市北區水田里2鄰北大路174號,60,24.8094211,120.9672125
私人,新竹市私立文筑幼兒園,1996/2/16,府教特字第1010036126號,鄧天麗,(03)5333246,新竹市北區水田里10鄰北大路166巷36號,120,24.8111426,120.9668325
國小附設(屬),新竹市北區北門國民小學附設幼兒園,1985/9/1,府教特字第10100093155號,,(03)5316668#405,新竹市北區水田里14鄰水田街33號,120,24.8136446,120.9660225
私人,新竹市私立普利斯堡幼兒園,2004/8/31,府教特字第1010066463號,梁翠英,(03)5424655,新竹市北區文雅里21鄰國光街141號,240,24.8136333,120.9583595
私人,新竹市私立諾貝兒幼兒園,2000/10/17,府教特字第1010160844號,溫秀嫚,(03)5328438,新竹市北區光田里1鄰東大路2段165號1-2樓,120,24.8154662,120.9662026
國小附設(屬),新竹市北區載熙國民小學附設幼兒園,1978/7/21,府教特字第1060137706號,,(03)5359056#212,新竹市北區福林里3鄰東大路二段386號,128,24.8195322,120.9623214
私人,新竹市私立勁寶兒向日葵幼兒園,2004/10/7,府教特字第1010151836號,蕭宇玲,(03)5318726,新竹市北區福林里9鄰武陵路36-3號1-2樓、36-2號1-2樓,75,24.8152011,120.962305
私人,新竹市私立漢聲幼兒園,1991/2/23,府教特字第1030174181號,吳雅卿,(03)5340258,新竹市北區湳雅里2鄰武陵路222巷16號,442,24.8208438,120.968815
私人,新竹市私立慈恩幼兒園,2001/10/31,府教特字第1010043799號,陳怡欣,(03)5334766,新竹市北區湳雅里3鄰湳中街22巷96號,92,24.8209299,120.9672412
私人,新竹市私立吉的堡維肯幼兒園,2005/1/17,府教特字第1010143483號,方美靜,(03)5339733,新竹市北區湳雅里11鄰湳雅街91-1號,298,24.8181854,120.9707065
私人,新竹市私立美滿幼兒園,1997/6/2,府教特字第1060111512號,陳惠貴,(03)5325762,新竹市北區舊社里13鄰光華二街80巷22弄28號1-3樓,57,24.820165,120.978424
私人,新竹市私立森林王國幼兒園,2005/8/22,府教特字第1020043411號,楊立宇,(03)5313851,新竹市北區舊社里1鄰湳雅街172之2號,29,24.8208679,120.9743934
私人,新竹市私立文華幼兒園,1985/8/9,府教特字第1010049561號,楊玉玲,(03)5326233,新竹市北區舊社里11鄰光華二街82號,180,24.8198811,120.976513
私人,新竹市私立大樹幼兒園,2009/10/27,府教特字第1010111005號,劉麗燕,(03)5326233,新竹市北區舊社里14鄰光華二街88號1-2樓,110,24.8198972,120.9765486
私人,新竹市私立天仁幼兒園,1996/2/14,府教特字第1050096391號,戴淑芬,(03)5367718,新竹市北區南寮里3鄰東大路三段467巷52號,60,24.8384987,120.9383327
國小附設(屬),新竹市北區南寮國民小學附設幼兒園,1998/4/7,府教特字第1060127333號,,(03)5366301,新竹市北區南寮里3鄰東大路三段465號,60,24.8388283,120.9396243
私人,新竹市私立快樂地幼兒園,2007/8/29,府教特字第1010075938號,鈕子欣,(03)5360019,新竹市北區康樂里10鄰東大路三段402號1-3樓,186,24.837633,120.9421803
公益社團法人辦理,社團法人中華音樂舞蹈暨表演藝術教育協會附設新竹市私立南寮非營利幼兒園(新竹市政府委託辦理),2017/8/29,府教特字第1060127458號,鄭雯婷,(03)5360888,新竹市北區海濱里15鄰嘉濱路10號,120,24.8412296,120.9275361
私人,新竹市私立福曼莎幼兒園,2001/5/15,府教特字第1010027043號,王佳玉,(03)5213357,新竹市北區客雅里31鄰延平路一段214巷52號,150,24.805812,120.953269
私人,新竹市私立艾丁堡幼兒園,2017/7/3,府教特字第1060095545號,,(03)5251000,新竹市北區客雅里31鄰延平路一段214巷74號1-2樓,98,24.8058721,120.9525999
私人,新竹市私立安安幼兒園,1986/5/24,府教特字第1010066444號,史馥瑄,(03)5261597,新竹市北區育英里26鄰四維路21巷25號,59,24.7980341,120.961983
國小附設(屬),國立清華大學附設實驗國民小學附設幼兒園,1946/1/1,府教特字第1050164200號,,(03)5286128#601,新竹市北區育英里17鄰四維路47號,248,24.7997382,120.9616313
私人,新竹市私立星安幼兒園,2015/9/2,府教特字第1040134630號,張瑞庭,(03)5261597,新竹市北區育英里26鄰四維路21巷28號1-2樓,92,24.7982382,120.9617601
私人,新竹市私立同信幼兒園,2012/4/13,府教特字第1010043999號,黃欽麟,(03)5250006,新竹市北區曲溪里4鄰中華路三段130號,150,24.7968741,120.9599143
私人,新竹市私立小小天地幼兒園,1991/5/13,府教特字第1010024466號,陳依萍,(03)5221204,新竹市北區西雅里1鄰北新街5號,60,24.8020548,120.9594949
私人,新竹市私立森森幼兒園,2003/1/17,府教特字第1050034354號,林妘澬,(03)5230699,新竹市北區西雅里10鄰民富街309號,60,24.8016855,120.9571081
國小附設(屬),新竹市北區西門國民小學附設幼兒園,1952/8/1,府教特字第1040061750號,,(03)5248335,新竹市北區西雅里1鄰北大路450號,120,24.8026949,120.9596744
私人,新竹市私立正大幼兒園,1987/4/13,府教特字第1010147744號,何盈萱,(03)5246299,新竹市北區西雅里4鄰北新街41號1樓,30,24.8024522,120.9582164
私人,新竹市私立慈耕幼兒園,1996/3/13,府教特字第1010140846號,游麗珠,(03)5221672,新竹市北區西雅里20鄰民富街252、254、256號1樓,82,24.80417,120.957955
私人,新竹市私立成功幼兒園,1983/2/21,府教特字第1010153133號,蘇淑滿,(03)5242707,新竹市北區南勢里6鄰延平路一段406巷15號,120,24.8056113,120.9488236
私人,新竹市私立幼福幼兒園,1993/7/15,府教特字第1010043817號,蘇麗娟,(03)5245790,新竹市北區磐石里6鄰西大路643巷42號,120,24.8114265,120.9589396
私人,新竹市私立薇閣幼兒園,2004/9/10,府教特字第1010049541號,林東南,(03)5221722,新竹市北區磐石里11鄰竹光路255號1.3樓,43,24.8098016,120.9556637
私人,新竹市私立茱蒂園幼兒園,2008/10/22,府教特字第1010047142號,曾月卿,(03)5358847,新竹市北區光華里5鄰光華街78巷1號1樓,21,24.8172094,120.9725676
私人,新竹市私立意頓幼兒園,2006/1/13,府教特字第1010087504號,劉翠華,(03)5340076,新竹市北區光華里3鄰光華街66號,75,24.8164757,120.9724261
私人,新竹市私立新欣幼兒園,1983/6/16,府教特字第1010116207號,謝玉珍,(03)5314405,新竹市北區光華里26鄰光華街47巷6號,60,24.8157641,120.972956
私人,新竹市私立華德幼兒園,1999/5/27,府教特字第1010050906號,黃淑英,(03)5428866,新竹市北區金華里12鄰光華東街76巷26號,210,24.8176321,120.976147
私人,新竹市私立蒙特梭利幼兒園,2005/7/29,府教特字第1050103067號,謝惠娟,(03)5430666,新竹市北區金華里10鄰鐵道路二段101巷1號,169,24.816281,120.9792467
私人,新竹市私立帝堡幼兒園,2013/12/30,府教特字第1020400140號,黃怡萍,(03)5359347,新竹市北區金華里17鄰光華二街72巷41號1-3樓,180,24.8195926,120.9760725
國小附設(屬),新竹市北區舊社國民小學附設幼兒園,2006/3/7,府教特字第1040136463號,,(03)5342023#4101,新竹市北區金竹里12鄰金竹路99號,90,24.8229427,120.9735926
私人,新竹市私立荷蘭村幼兒園,2000/5/2,府教特字第1020401955號,林惠珠,(03)5453388,新竹市北區湳中里13鄰武陵路175巷7號,30,24.8220373,120.9672433
私人,新竹市私立大象幼兒園,2002/8/7,府教特字第1010046040號,程月影,(03)5455336,新竹市北區湳中里21鄰武陵路179巷6號1-2樓,15,24.8219366,120.968333
私人,新竹市私立孟格爾幼兒園,2009/6/8,府字第1010116241號,蔡孟柔,(03)5455599,新竹市北區湳中里21鄰武陵路179巷10號1樓,24,24.822588,120.9682103
私人,新竹市私立童欣幼兒園,2004/3/22,府教特字第1040105682號,梁黎君,(03)5311855,新竹市北區金雅里2鄰金農路42巷19號1樓,120,24.8227713,120.9637435
私人,新竹市私立拿莎幼兒園,2005/1/11,府教特字第1010128276號,翁儷禎,(03)5243365,新竹市北區台溪里3鄰中華路三段67號,120,24.7968844,120.9620667
私人,新竹市私立綠太陽幼兒園,2003/8/25,府教特字第1030221903號,呂慧琪,(03)5397168,新竹市香山區港南里5鄰海埔路177號,135,24.8189709,120.9243068
國小附設(屬),新竹市香山區港南國民小學附設幼兒園,1999/4/14,府教特字第1030165914號,,(03)5398089,新竹市香山區港南里12鄰海埔路171巷91號,30,24.8125468,120.9220871
私人,新竹市私立延平幼兒園,1992/1/6,府教特字第1010019660號,黃嘉慧,(03)5307869,新竹市香山區虎林里11鄰延平路二段246號,60,24.8067372,120.9362595
私人,新竹市私立拉菲爾幼兒園,2011/8/11,府教特字第1050172142號,向翊華,(03)5305319,新竹市香山區虎林里14鄰延平路二段80巷31號,270,24.804976,120.9430748
國小附設(屬),新竹市香山區虎林國民小學附設幼兒園,1998/5/26,府教特字第1060122807號,,(03)5398973,新竹市香山區虎林里10鄰延平路二段78號,90,24.8052582,120.9410568
財團法人附設,財團法人台灣省天主教會新竹教區附設新竹市私立貞德幼兒園,1966/11/16,府教特字第1010112451號,張恭熒,(03)5386411,新竹市香山區虎林里12鄰延平路二段21號,90,24.8049282,120.9433932
私人,新竹市私立晨光幼兒園,2000/2/22,府教特字第1060039850號,陳依帆,(03)5396010,新竹市香山區樹下里6鄰樹下街93巷13號,300,24.7991261,120.933939
私人,新竹市私立喬治叔叔幼兒園,1998/7/10,府教特字第1030084052號,范惠瓊,(03)5305726,新竹市香山區埔前里13鄰牛埔北路66號,90,24.7986618,120.9415713
私人,新竹市私立夏綠蒂幼兒園,2017/7/26,府教特字第1060109839號,萬淑娟,(03)5398683,新竹市香山區埔前里13鄰牛埔北路120號,468,24.8000026,120.941497
私人,新竹市私立奇德爾幼兒園,2002/11/13,府教特字第1050187483號,陳美月,(03)5387125,新竹市香山區中埔里3鄰牛埔路345號,30,24.7979518,120.944081
私人,新竹市私立菲曼?藝術幼兒園,2000/9/21,府教特字第1010026864號,王勝樑,(03)5300199,新竹市香山區牛埔里14鄰東華路62號1-2樓,156,24.7951238,120.9451487
國小附設(屬),新竹市香山區香山國民小學附設幼兒園,1947/8/1,府教特字第1040045669號,,(03)5301205,新竹市香山區牛埔里1鄰牛埔東路二六O號,120,24.799423,120.950538
私人,新竹市私立但以理幼兒園,2000/12/28,府教特字第1010024458號,謝玉卿,(03)5400805,新竹市香山區頂埔里7鄰中華路四段46號,150,24.7967863,120.9541346
私人,新竹市私立信義幼兒園,1998/10/7,府教特字第1030089544號,盧碧婉,(03)5386332,新竹市香山區頂埔里20鄰牛埔路50號1樓,70,24.7989791,120.9548813
